project_id,response_id,question,text
proj_test,1,What did you like most?,The trainers were incredibly supportive and made everyone feel included.
proj_test,2,What did you like most?,I really enjoyed the interactive workshops and the relaxed atmosphere.
proj_test,3,What did you like most?,The group energy was amazing and the activities were engaging.
proj_test,4,What did you like most?,The facilitators were well prepared and always helpful.
proj_test,5,What did you like most?,I liked how practical the sessions were and how easy it was to participate.
proj_test,6,What did you like most?,The cultural evening was inspiring and brought everyone together.
proj_test,7,What did you like most?,"The atmosphere was warm, welcoming, and motivating."
proj_test,8,What did you like most?,I appreciated the safe space for sharing ideas and experiences.
proj_test,9,What did you like most?,"The schedule was full, but the activities were meaningful and fun."
proj_test,10,What did you like most?,"Even though the days were long, I enjoyed the teamwork a lot."
proj_test,11,What could be improved?,The schedule was too intense and there were not enough breaks.
proj_test,12,What could be improved?,The accommodation could have been better organized.
proj_test,13,What could be improved?,"Some sessions were interesting, but the timing was confusing."
proj_test,14,What could be improved?,There should have been more free time in the evenings.
proj_test,15,What could be improved?,"The food was okay, but there were too few vegetarian options."
proj_test,16,What could be improved?,The transport instructions were not clear before arrival.
proj_test,17,What could be improved?,"The room was nice, although it was a bit too cold at night."
proj_test,18,What could be improved?,"The trainers were friendly, but some explanations were unclear."
proj_test,19,What could be improved?,"It was not badly organized, but communication could be improved."
proj_test,20,What could be improved?,I expected more interactive activities and fewer presentations.
proj_test,21,What could be improved?,"The venue was beautiful, yet the internet connection was unreliable."
proj_test,22,What could be improved?,"Nothing major was wrong, but the days felt slightly overloaded."
proj_test,23,What could be improved?,"The program was useful overall, though the mornings started too early."
proj_test,24,What could be improved?,"There was a lot to learn, but sometimes the instructions were difficult to follow."
proj_test,25,What could be improved?,"The activities were good; however, the transitions between sessions were messy."
proj_test,26,What did you learn?,I became more confident speaking English in front of others.
proj_test,27,What did you learn?,I learned how to work with people from very different cultural backgrounds.
proj_test,28,What did you learn?,This project improved my communication and teamwork skills.
proj_test,29,What did you learn?,I feel more open-minded and understanding toward other cultures now.
proj_test,30,What did you learn?,I realized I can take more initiative in group work.
proj_test,31,What did you learn?,I gained more self-confidence and I am less afraid to share my opinion.
proj_test,32,What did you learn?,My English improved a lot during the exchange.
proj_test,33,What did you learn?,I learned to collaborate better and listen more carefully to others.
proj_test,34,What did you learn?,This experience motivated me to join more trainings in the future.
proj_test,35,What did you learn?,I became more aware of European values and active citizenship.
proj_test,36,What did you learn?,I improved my digital skills while preparing content with the group.
proj_test,37,What did you learn?,I now understand cultural differences much better.
proj_test,38,What did you learn?,I learned that I am capable of much more than I thought.
proj_test,39,What did you learn?,This mobility helped me think more seriously about my future career.
proj_test,40,What did you learn?,I feel inspired to continue learning after this project.
proj_test,41,Any other comments?,The project was intense.
proj_test,42,Any other comments?,"The project was intense, but in a good way."
proj_test,43,Any other comments?,"It was challenging, yet very rewarding."
proj_test,44,Any other comments?,The accommodation was simple but absolutely fine for me.
proj_test,45,Any other comments?,"I did not dislike the sessions, but I needed more breaks."
proj_test,46,Any other comments?,The trainers were not unfriendly at all.
proj_test,47,Any other comments?,"I cannot say the organization was bad, but it was not smooth either."
proj_test,48,Any other comments?,The workshops were surprisingly good.
proj_test,49,Any other comments?,"The evenings were quiet, which was actually nice."
proj_test,50,Any other comments?,"I was nervous at first, but later I felt much more confident."
proj_test,51,What did you like most?,The sessions were not only informative but also very engaging.
proj_test,52,What could be improved?,Not everything was clear from the beginning.
proj_test,53,What could be improved?,"The program was good overall, but there was not enough time for reflection."
proj_test,54,What did you learn?,I developed better problem-solving skills during the activities.
proj_test,55,What did you learn?,I became more patient and better at cooperating with others.
proj_test,56,What did you like most?,"I loved how supportive everyone was, especially during team tasks."
proj_test,57,What could be improved?,The last day felt rushed and somewhat disorganized.
proj_test,58,What did you learn?,I am more motivated to study abroad again in the future.
proj_test,59,Any other comments?,"It was exhausting, though definitely worth it."
proj_test,60,Any other comments?,"The meals were decent, but nothing special."
